138679
+Vehicle assignments
1REG813;z7
1NCH783;z7
1PNR669;z6
1PZA461;z6
EX 1DFI297;z6
EX 1CQI853;z21
1FBY633;z21
1NSH027;z18
1RXP707;z18
1EEA908;z18
1DHZ910;z29
1EQX617;z29
1KGX660;z29
1SCS762;z29
1RXP824;z8
1PZZ995;z8
1DLM027;z8
1FRD765;z5
1SJJ031;z5
1KNB761;z5
1SBU941;z20
1CXM669;z20
1LFB946;z20
EX 1EDA821;z20
1SLL574;z20
EX 1EWM029;z28
EX 1DLM027;z28
1RRT320;z28
1REG849;z28
1GVI726;z28
1CNE928;z28
1SDT222;z16
1DJH079;z16
1FGI339;z16
1LPY649;z16
1GAJ230;z16
1DXM037;z17
1SJH996;z17
1KKB899;z17
1DLM013;z19
1LHG413;z13
1RUH887;z13
1EDA821;z13
1PBR791;z13
1LKN876;z33
1KHG459;z33
1RRT308;z27
1NEP766;z27
1KKB935;z25
1NNL013;z25
1HLD493;z25
1JTV340;z25
1KTH041;z32
1SCS749;z32
1HRR354;z32
1ERO742;z32
1HTN492;z32
1KFH200;z14
1EQX520;z14
1NTR952;z14
1KEE360;z14
1RRT234;z11
1KDB264;z11
1SHD347;z26
EX 1FFV280;z22
1GXX853;z22
1NHL771;z22
1JAP927;z31
1SAS023;z31
1RED115;z23
EX 1DEX676;z23
1NJZ656;z23
1DUG853;z10
1NDS747;z10
1FFV280;z12
1NEP952;z12
1HTN294;z9
1RUH933;z9
1ELE010;z15
1FTE471;z15
1RRT325;z15
1SKD312;z15
1HRR327;z4
1JUU106;z4
1KAL819;z4
1RTV610;z24
1HLD522;z24
1CWM791;z24
1SJJ119;z24
1HRV096;z24
1LHG398;z24
1NHY358;z0
1HUR659;z0
1FOS308;z0
1GIS093;z0
1FBL866;z0
1PPG409;z0
1LGN785;z0
1DUG878;z0
1GSX173;z0
1NXG544;z0
1PZA506;z0
1FRT288;z0
1PTS083;z0
1JAP895;z0
1NGU056;z0
1HZL277;z0
1GKX852;z0
1GTS625;z0
1DUG857;z0
1SJJ105;z0
1PUS785;z0
1SKE123;z0
1SLX824;z0
1SCS782;z0
1LFB974;z0
1NNK910;z0
1ETV552;z0
1LEE881;z0
1CWM773;z0
EX 1EGK788;z0
1NDS728;z0
1CFZ075;z0
1LTC134;z0
1NLK454;z0
1HTN437;z0
1LRL840;z0
1NEV476;z0
1KBS533;z0
1HUR711;z0
EX 1ERU943;z0
1EZR230;z0
1FTE445;z0
1KEE450;z0
1DFI297;z0
1HPV099;z0
1ELE039;z0
1FBL882;z0
1EQX581;z0
1LHG461;z0
1NJY897;z0
1GNM463;z0
1DGP283;z0
1DUG803;z0
1PZZ973;z0
1NJY923;z0
1RFH278;z0
1NNL088;z0
1PTS112;z0
1NTR925;z0
1SLL556;z0
EX 1FBY633;z0
1SKD330;z0
1RFH264;z0
1FSH508;z0
1RRT197;z0
1SGP871;z0
1FPF116;z0
1PRZ486;z0
1KPJ473;z0
EX 1CWM791;z0
1GPC245;z0
1PBE888;z0
1RED084;z0
1DSV407;z0
1RLN366;z0
1DHZ935;z0
EX 1DJH079;z0
1SCS793;z0
EX 1DLM013;z0
1NGU029;z0
1FML795;z0
EX 1EQX581;z0
1SKE184;z0
1PNR573;z0
1NXH830;z0
CAM 603;z0
CAM 602;z0
1SHN214;z0
EX 1ELE039;z0
1EEA928;z0
1GKR559;z0
EX 1CXM669;z0
1RXP726;z0
1KBS588;z0
1BHZ633;z0
1SFJ717;z0
